Business Name,Contact Phone Number,Address,Address City,Address State,Address ZIP,Address Borough,Latitude,Longitude
MP COLUMBUS PARKING LLC,2124903460,10 COLUMBUS CIR,NEW YORK,NY,10019,Manhattan,40.768356,-73.98264
PUBLIC PARKING 50 NORTH 5TH STREET INC,2124866888,50 N 5TH ST,BROOKLYN,NY,11249,Brooklyn,40.718559,-73.962056
VANCITY PARKING INC,9173277488,70 E 162ND ST,BRONX,NY,10452,Bronx,40.829024,-73.92492
GEM PARKING CORP.,,260 E 188TH ST,BRONX,NY,10458,Bronx,40.860742,-73.895944
EASTSIDE 27 COMMERCIAL LLC,2123649704,200 E 27TH ST,NEW YORK,NY,10016,Manhattan,40.741112,-73.981006
GEM PARKING CORP.,,260 E 188TH ST,BRONX,NY,10458,Bronx,40.860742,-73.895944
"D&J UNION PLAZA PARKING, LLC",3474539548,3819 UNION ST,FLUSHING,NY,11354,Queens,40.761253,-73.826515
QUIK PARK WEST 62ND ST. LLC,2128322066,140 W 65TH ST,NEW YORK,NY,10023,Manhattan,40.773039,-73.984533
SP PLUS CORPORATION,212217621,20990 23RD AVE,BAYSIDE,NY,11360,Queens,40.779948,-73.780741
WELCOME PARKING LLC,646-476-2959,131 E 55TH ST,NEW YORK,NY,10022,Manhattan,40.759954,-73.970328
TYOS LLC,2126652160,1131 OGDEN AVE,BRONX,NY,10452,Bronx,40.836151,-73.927904
KK ENTERPRISE GROUP INC.,9173277488,4745 PARK AVE,BRONX,NY,10458,Bronx,40.860339,-73.891827
786 PARKING CORP,7186180029,250 E 144TH ST,BRONX,NY,10451,Bronx,40.815573,-73.924923
CUSTOM PARKING LLC,2126869800,184 E 64TH ST,NEW YORK,NY,10065,Manhattan,40.764819,-73.964868
CHAMPION PARKING 39 LLC,2128529033,102 W 39TH ST,NEW YORK,NY,10018,Manhattan,40.753031,-73.985998
PARK PLACE GARAGE LLC,6465840409,99 CHURCH ST,NEW YORK,NY,10007,Manhattan,40.712905,-74.009327
SYLVAN ASTORIA GARAGE LLC,7185759440,2325 31ST ST,ASTORIA,NY,11105,Queens,40.773645,-73.91347
100 RIVERSIDE PARKING LLC,2126869800,120 RIVERSIDE BLVD,NEW YORK,NY,10069,Manhattan,40.7764,-73.989252
100 RIVERSIDE PARKING LLC,2126869800,100 RIVERSIDE BLVD,NEW YORK,NY,10069,Manhattan,40.775806,-73.989744
QUIK PARK CRESCENT LLC,2128322066,4308 CRESCENT ST,LONG ISLAND CITY,NY,11101,Queens,40.749736,-73.941
BROOKLYN METRO PARKING LLC,2126869800,100 WILLOUGHBY ST,BROOKLYN,NY,11201,Brooklyn,40.692024,-73.984766
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,199 WATER ST,NEW YORK,NY,10038,Manhattan,40.707051,-74.004399
1725 PARKING LLC,2126869800,1725 YORK AVE,NEW YORK,NY,10128,Manhattan,40.778261,-73.945693
220 RIVERSIDE PARKING LLC,2126869800,220 RIVERSIDE BLVD,NEW YORK,NY,10069,Manhattan,40.77986,-73.987629
QUIK PARK 801 GARAGE LLC,212-222-3289,801 AMSTERDAM AVE,NEW YORK,NY,10025,Manhattan,40.796138,-73.968618
149 KENT AVENUE PARKING CORP,212-736-7171,149 KENT AVE,BROOKLYN,NY,11249,Brooklyn,40.719254,-73.962697
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,9 W 57TH ST,NEW YORK,NY,10019,Manhattan,40.76379,-73.975182
LM 29 PARK LLC,2129672848,221 W 29TH ST,NEW YORK,NY,10001,Manhattan,40.748304,-73.993712
A & D 24 Hour Parking Inc,,2160 WEBSTER AVE,BRONX,NY,10457,Bronx,40.853785,-73.896582
PARK ARMORYMANAGEMENT LLC,7182229427,171 CLERMONT AVE,BROOKLYN,NY,11205,Brooklyn,40.692447,-73.970543
CHAMPION PARKING 113 LLC,212-308-5959,400 W 113TH ST,NEW YORK,NY,10025,Manhattan,40.804256,-73.961353
"LAUREATE GARAGE, LLC",2127502056,2148 BROADWAY,NEW YORK,NY,10023,Manhattan,40.781293,-73.980922
A & J PARKING LLC,914-314-3157,1035 ANDERSON AVE,BRONX,NY,10452,Bronx,40.833088,-73.926703
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,1113 YORK AVE,NEW YORK,NY,10065,Manhattan,40.759646,-73.959243
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,1 FORDHAM PLZ,BRONX,NY,10458,Bronx,40.860759,-73.890107
MP PARK ASSOCIATES LLC,2124903460,810 RIVER AVE,BRONX,NY,10451,Bronx,40.826053,-73.926808
FULTON LAWRENCE PARKING LLC,2126869800,111 LAWRENCE ST,BROOKLYN,NY,11201,Brooklyn,40.692679,-73.986117
QUIK PARK ELY GARAGE LLC,2128322066,81 FLEET PL,BROOKLYN,NY,11201,Brooklyn,40.693257,-73.981571
CLINTON 53 PARKING LLC,2126869800,515 W 52ND ST,NEW YORK,NY,10019,Manhattan,40.766447,-73.99173
SUPER ELITE PARKING INC,9174705093,1973 38TH ST,ASTORIA,NY,11105,Queens,40.777229,-73.901791
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,247 W 46TH ST,NEW YORK,NY,10036,Manhattan,40.759708,-73.987474
MORRIS AVENUE PARKING LLC,6465027200,655 MORRIS AVE,BRONX,NY,10451,Bronx,40.820002,-73.921905
CHAMPION PARKING 92 LLC,2123085959,114 W 92ND ST,NEW YORK,NY,10025,Manhattan,40.790507,-73.970145
"PROPARK AMERICA NEW YORK, LLC",3479443939,920 PARK AVE,NEW YORK,NY,10028,Manhattan,40.776578,-73.960144
"PROPARK AMERICA NEW YORK, LLC",3479443939,9015 QUEENS BLVD,ELMHURST,NY,11373,Queens,40.733983,-73.870694
"PROPARK AMERICA NEW YORK, LLC",3479443939,11045 QUEENS BLVD,FOREST HILLS,NY,11375,Queens,40.719514,-73.838831
ROCKWELL CAR PARK LLC,212-996-6363,29 FLATBUSH AVE,BROOKLYN,NY,11217,Brooklyn,40.68783,-73.979965
7 WEST 21 PARKING LLC,212-888-7400,7 W 21ST ST,NEW YORK,NY,10010,Manhattan,40.740697,-73.991295
507 WEST 28TH STREET PARKING CORP.,2127367171,507 W 28TH ST,NEW YORK,NY,10001,Manhattan,40.751196,-74.002496
2 NORTH 6TH PARKING CORP,2127367171,2 N 6TH ST,BROOKLYN,NY,11249,Brooklyn,40.719118,-73.961028
"PROPARK AMERICA NEW YORK, LLC",3479443939,11215 NORTHERN BLVD,CORONA,NY,11368,Queens,40.762806,-73.837744
QUIK PARK 808 GARAGE LLC,2128322066,808 COLUMBUS AVE,NEW YORK,NY,10025,Manhattan,40.794646,-73.966553
CHAMPION PARKING NORTH LLC,212-308-5959,2917 QUEENS PLZ N,LONG ISLAND CITY,NY,11101,Queens,40.752191,-73.928848
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,751 CONCOURSE VLG W,BRONX,NY,10451,Bronx,40.823394,-73.923344
SP PLUS CORPORATION,2123217621,9777 QUEENS BLVD,REGO PARK,NY,11374,Queens,40.728984,-73.858349
58TH & 7TH PARKING LLC,2126869800,157 W 57TH ST,NEW YORK,NY,10019,Manhattan,40.765366,-73.979252
99 PARK AVENUE CORP.,2128661000,99 PARK AVE,NEW YORK,NY,10016,Manhattan,40.750432,-73.978591
JORIAN PARK LLC,7187794774,8213 37TH AVE,JACKSON HEIGHTS,NY,11372,Queens,40.749921,-73.883781
THE CAR PARK OF NEW YORK LLC,208-336-6597,8036 COOPER AVE,GLENDALE,NY,11385,Queens,40.709332,-73.868361
XTELL PARKING LLC,917-592-4762,17802 HILLSIDE AVE,JAMAICA,NY,11432,Queens,40.707856,-73.803254
34 NORTH 7TH PARKING CORP.,2127367171,34 N 7TH ST,BROOKLYN,NY,11249,Brooklyn,40.720638,-73.962451
"LAZ PARKING NEW YORK, NEW JERSEY LLC",2122652239,140 RIVERSIDE BLVD,NEW YORK,NY,10069,Manhattan,40.77708,-73.988846
QUIK PARK HUDSON VI LLC,212-686-9800,40 RIVERSIDE BLVD,NEW YORK,NY,10069,Manhattan,40.774016,-73.991818
560 W 43RD STREET PARKING CORP,9174727056,555 W 42ND ST,NEW YORK,NY,10036,Manhattan,40.760654,-73.997416
"BATTERY 17 PARKING, LLC",646-773-4400,17 BATTERY PL,NEW YORK,NY,10004,Manhattan,40.705142,-74.016011
THE CAR PARK OF NEW YORK LLC,208-336-6597,9015 QUEENS BLVD,ELMHURST,NY,11373,Queens,40.733983,-73.870694
147-36 94TH AVENUE PARKING CORP.,2127367171,14736 94TH AVE,JAMAICA,NY,11435,Queens,40.699372,-73.805726
PARK 115TH LLC,2129799815,2131 FREDERICK DOUGLASS BLVD,NEW YORK,NY,10026,Manhattan,40.80403,-73.955886
ENTERPRISE 57 PARKING LLC,2125643199,606 W 57TH ST,NEW YORK,NY,10019,Manhattan,40.770608,-73.992497
NORTH 12 PARKING LLC,9143209630,55 WYTHE AVE,BROOKLYN,NY,11249,Brooklyn,40.722391,-73.957183
"YORK PARKING, LLC",646-773-4400,1418 YORK AVE,NEW YORK,NY,10021,Manhattan,40.768892,-73.952101
43-25 HUNTER STREET PARKING CORP.,2127367171,4325 HUNTER ST,LONG ISLAND CITY,NY,11101,Queens,40.747693,-73.942826
III IN LOT PARKING INC,646-964-4640,4388 BROADWAY,NEW YORK,NY,10040,Manhattan,40.854603,-73.933343
535 CARLTON AVENUE PARKING CORP,212-736-7171,535 CARLTON AVE,BROOKLYN,NY,11238,Brooklyn,40.681192,-73.970821
G & K PARKING GARAGE INC.,718-235-4975,1208 FRANKLIN AVE,BRONX,NY,10456,Bronx,40.830102,-73.903438
1578 WILLIAMSBRIDGE ROAD LLC,7188639709,1578 WILLIAMSBRIDGE RD,BRONX,NY,10461,Bronx,40.846728,-73.848424
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,130 FURMAN ST,BROOKLYN,NY,11201,Brooklyn,40.700582,-73.996229
ACB GARAGE LLC,6465840409,626 1ST AVE,NEW YORK,NY,10016,Manhattan,40.74421,-73.972058
455 CPW PARKING CORP,2127367171,455 CENTRAL PARK W,NEW YORK,NY,10025,Manhattan,40.797752,-73.960761
255 SCHERMERHORN STREET PARKING CORP.,2127367171,33 BOND ST,BROOKLYN,NY,11201,Brooklyn,40.688538,-73.983586
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,90 FURMAN ST,BROOKLYN,NY,11201,Brooklyn,40.70155,-73.995658
TRUST UNDER WILL OF IRVING SERVANSKY,6175476500,210 INDIA ST,BROOKLYN,NY,11222,Brooklyn,40.732516,-73.951391
PARK 24 LLC,2126757777,200 E 24TH ST,NEW YORK,NY,10010,Manhattan,40.739229,-73.982432
"ABM INDUSTRY GROUPS, LLC",2127576500,450 E 29TH ST,NEW YORK,NY,10016,Manhattan,40.739681,-73.973768
II IN LOT PARKING CORP,646-689-9769,2028 CRESTON AVE,BRONX,NY,10453,Bronx,40.852289,-73.905087
LAZ Parking New York New Jersey LLC,2122652239,40 W 116TH ST,NEW YORK,NY,10026,Manhattan,40.801094,-73.947922
"325 FIFTH CAR PARK, LLC",2129966363,325 5TH AVE,NEW YORK,NY,10016,Manhattan,40.747422,-73.985065
99 PARK AVENUE PARKING CORP,2127367171,99 PARK AVE,NEW YORK,NY,10016,Manhattan,40.750432,-73.978591
OTTO PARK LLC,2125755335,211 MCGUINNESS BLVD,BROOKLYN,NY,11222,Brooklyn,40.729615,-73.951213
5 STARS PARKING INC,9172140583,120 UNION AVE,BROOKLYN,NY,11206,Brooklyn,40.704303,-73.950046
240 RIVERSIDE PARKING LLC,2126869800,240 RIVERSIDE BLVD,NEW YORK,NY,10069,Manhattan,40.780296,-73.986964
221 EAST 36TH STREET GARAGE LLC,6465840409,221 E 36TH ST,NEW YORK,NY,10016,Manhattan,40.74673,-73.976176
QUIK PARK 150 CHARLES STREET GARAGE LLC,212-832-2066,150 CHARLES ST,NEW YORK,NY,10014,Manhattan,40.733928,-74.00895
LM WOLVERINE PARKING LLC.,2127143571,282 S 5TH ST,BROOKLYN,NY,11211,Brooklyn,40.709167,-73.958032
214 WEST 88TH STREET GARAGE LLC,6465840409,214 W 88TH ST,NEW YORK,NY,10024,Manhattan,40.789344,-73.97517
LHL PARKING CO LLC,212-213-9600,242 W 53RD ST,NEW YORK,NY,10019,Manhattan,40.763738,-73.98398
QB 71ST AVENUE PARKING LLC,7187865555,10820 71ST AVE,FOREST HILLS,NY,11375,Queens,40.721713,-73.842964
VANCITY PARKING INC,9173277488,355 E 72ND ST,NEW YORK,NY,10021,Manhattan,40.76811,-73.956298
PARK KWIK LLC,2129745840,286 ASHLAND PL,BROOKLYN,NY,11217,Brooklyn,40.68667,-73.978208
PARK KWIK LLC,2129745840,60 WATER ST,BROOKLYN,NY,11201,Brooklyn,40.703209,-73.991801
LAIGHT STREET PARKING  LLC,212-686-9800,416 WASHINGTON ST,NEW YORK,NY,10013,Manhattan,40.722466,-74.01064
QUIK PARK GEM GARAGE LLC,212-832-2066,44 W 47TH ST,NEW YORK,NY,10036,Manhattan,40.757364,-73.980517
59-61 WEST 36TH STREET PARKING CORP,212-736-7171,59 W 36TH ST,NEW YORK,NY,10018,Manhattan,40.750853,-73.986053
LAZ PARKING NEW YORK / NEW JERSEY LLC,7104042575,555 WAVERLY AVE,BROOKLYN,NY,11238,Brooklyn,40.681888,-73.965488
PEAK TIME PARKING INC.,9174705093,225 E 63RD ST,NEW YORK,NY,10065,Manhattan,40.763626,-73.963434
"LIBERTY VIEW PARKING, LLC",2128422305,2 RIVER TER,NEW YORK,NY,10282,Manhattan,40.715401,-74.016269
150 charles Street Garage LLC,6465840409,150 CHARLES ST,NEW YORK,NY,10014,Manhattan,40.733928,-74.00895
38 SIXTH AVENUE PARKING CORP,212-736-7171,38 6TH AVE,BROOKLYN,NY,11217,Brooklyn,40.681966,-73.974222
254 WEST 79TH STREET PARKING CORP,212-736-7171,252 W 79TH ST,NEW YORK,NY,10024,Manhattan,40.78413,-73.981084
SP PLUS CORPORATION,2123217621,333 SCHERMERHORN ST,BROOKLYN,NY,11217,Brooklyn,40.687204,-73.981131
MODA CAR PARK LLC,212-996-6363,8914 PARSONS BLVD,JAMAICA,NY,11432,Queens,40.705484,-73.801764
390 MADISON PARKING CORP.,2127367171,390 MADISON AVE,NEW YORK,NY,10017,Manhattan,40.755752,-73.977339
GGG PARKING GARAGE CORP.,9175573711,920 WESTCHESTER AVE,BRONX,NY,10459,Bronx,40.821624,-73.897449
O & A PARKING GARAGE INC.,7184839458,1100 FRANKLIN AVE,BRONX,NY,10456,Bronx,40.827776,-73.906175
LM ALDUS PARKING LLC,2127143571,951 HOE AVE,BRONX,NY,10459,Bronx,40.822668,-73.890535
LM ALDUS PARKING LLC,2127143571,941 Hoe Avenue,Bronx,NY,10459,Bronx,40.821884,-73.890465
PARKING VERNON LLC,2015678110,3085 VERNON BLVD,ASTORIA,NY,11102,Queens,40.769441,-73.934681
BAJRAKTARI REALTY MANAGEMENT CORP,7183654310,617 East 188th Street,Bronx,NY,10458,Bronx,40.856243,-73.886192
"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",2126296602,169 CADMAN PLZ W,BROOKLYN,NY,11201,Brooklyn,40.700233,-73.990664
BK PARKING GROUP INC,9173277488,27 W 170TH ST,BRONX,NY,10452,Bronx,40.840918,-73.91929
"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",2126296602,808 7TH AVE; # 820,NEW YORK,NY,10019,,40.762643,-73.982357
"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",2123052718,115 FORT WASHINGTON AVE,NEW YORK,NY,10032,Manhattan,40.839643,-73.943511
AZ PARKING CORP,2125484370,35 W 33RD ST,NEW YORK,NY,10001,Manhattan,40.748664,-73.986901
SUPERB PARKING LLC,2126869800,400 E 35TH ST,NEW YORK,NY,10016,Manhattan,40.7443,-73.973027
MANHATTAN PARKING WEST 20 LLC,212-490-3460,516 W 20TH ST,NEW YORK,NY,10011,Manhattan,40.746217,-74.00674
52 WEST 36TH ST. PARKING LLC,2126869800,59 W 36TH ST,NEW YORK,NY,10018,Manhattan,40.750853,-73.986053
QUIK PARK SCH GARAGE LLC,2128322066,236 LIVINGSTON ST,BROOKLYN,NY,11201,Brooklyn,40.689122,-73.98487
"FIFTH AVENUE CAR PARK, LLC",2129966363,1330 5TH AVE,NEW YORK,NY,10026,Manhattan,40.797865,-73.948735
ALVA 47 PARKING LLC,2126869800,257 W 47TH ST,NEW YORK,NY,10036,Manhattan,40.760163,-73.986626
375 HUD PARKING LLC,2126869800,375 HUDSON ST,NEW YORK,NY,10014,Manhattan,40.728418,-74.007368
323 WEST 34TH STREET LLC,2124903460,323 W 34TH ST,NEW YORK,NY,10001,Manhattan,40.752859,-73.994641
JKH BUSINESS CORP,,1579 UNDERCLIFF AVE,BRONX,NY,10453,Bronx,40.84839,-73.922751
SKY PARKING CORP.,2126083060,121 READE ST,NEW YORK,NY,10013,Manhattan,40.716208,-74.009488
JO DASH PARKING LLC,2126869800,488 3RD AVE,NEW YORK,NY,10016,Manhattan,40.745371,-73.978647
167 EAST 77TH ST PARKING SERVICES LLC,6467734400,176 E 77TH ST,NEW YORK,NY,10075,Manhattan,40.772981,-73.958543
"SALVATOR, JOSEPH",3475895454,284 NASSAU AVE,BROOKLYN,NY,11222,Brooklyn,40.726025,-73.939207
"OCHRE CAR PARK, LLC",2129966363,625 ATLANTIC AVE,BROOKLYN,NY,11217,Brooklyn,40.683672,-73.975573
CLINTON HILL GARAGE CORP.,3476023636,240 VANDERBILT AVE,BROOKLYN,NY,11205,Brooklyn,40.690104,-73.969451
1065 GARAGE LLC,2128887400,1065 PARK AVE,NEW YORK,NY,10128,Manhattan,40.780908,-73.95632
QUIK PARK EAST 94TH STREET LLC,2126869800,1829 1ST AVE,NEW YORK,NY,10128,Manhattan,40.782416,-73.94558
"300 EAST 74TH STREET CAR PARK, LLC",2129966363,300 E 74TH ST,NEW YORK,NY,10021,Manhattan,40.769846,-73.95717
SLATE PARKING CORP.,2126296602,329 E 21ST ST,NEW YORK,NY,10010,Manhattan,40.736033,-73.980241
"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",2125025490,215 S END AVE,NEW YORK,NY,10280,Manhattan,40.709579,-74.016796
SUPER ELITE PARKING INC,9174705093,3815 PUTNAM AVE W,BRONX,NY,10463,Bronx,40.885052,-73.89875
EAGLE PARKING GARAGE INC,3472207660,775 EAGLE AVE,BRONX,NY,10456,Bronx,40.820328,-73.909309
"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",2126296602,332 W 44TH ST,NEW YORK,NY,10036,Manhattan,40.759131,-73.990523
"J & B PARKING GARAGE, INC.",2125433328,477 W 165TH ST,NEW YORK,NY,10032,Manhattan,40.837878,-73.937586
"FORBES, DUDLEY",718-277-3866,447 EUCLID AVE,BROOKLYN,NY,11208,Brooklyn,40.676337,-73.872013
"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",2126296602,330 E 61ST ST,NEW YORK,NY,10065,Manhattan,40.761125,-73.961932
115 WEST 25TH STREET PARKING CORP.,2122439808,112 W 25TH ST,NEW YORK,NY,10001,Manhattan,40.744374,-73.9927
RIBAR PARKING LLC,2129293041,160 W 10TH ST,NEW YORK,NY,10014,Manhattan,40.734319,-74.001951
NEW OGDEN PARKING INC.,7184662000,156 W 166TH ST,BRONX,NY,10452,Bronx,40.835772,-73.928618
"KINNEY PARKING SYSTEM, LLC",2125025490,215 W 87TH ST,NEW YORK,NY,10024,Manhattan,40.788666,-73.974764
YORK & 90TH PARKING LLC,2126869800,1731 YORK AVE,NEW YORK,NY,10128,Manhattan,40.778636,-73.945255
SP PLUS CORPORATION,2125025490,910 9TH AVE,NEW YORK,NY,10019,Manhattan,40.768847,-73.984786
LOWER EAST SIDE DISTRICT MANAGEMENT ASSOCIATION INC,212-276-9010,135 DELANCEY ST,NEW YORK,NY,10002,Manhattan,40.718082,-73.987331
"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",9999999999,100 W 57TH ST,NEW YORK,NY,10019,Manhattan,40.764316,-73.977601
CANDACE PARKING CORP.,2124903460,120 W 97TH ST,NEW YORK,NY,10025,Manhattan,40.793931,-73.968312
GMH PARK INC,9172140583,2330 HOFFMAN ST,BRONX,NY,10458,Bronx,40.85461,-73.88953
337 PARKING LLC,2128799796,337 E 64TH ST,NEW YORK,NY,10065,Manhattan,40.76309,-73.960262
SCR PARKING CORP.,2122493344,169 E 87TH ST,NEW YORK,NY,10128,Manhattan,40.779907,-73.954209
FLATIRON 20 PARKING LLC,2122439384,21 W 20 ST,NEW YORK,NY,10011,Manhattan,40.740364,-73.992318
