Business Name,Contact Phone Number,Address,Address City,Address State,Address ZIP,Address Borough
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,3916 PRINCE ST,FLUSHING,NY,11354,Queens
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,525 E 72ND ST,NEW YORK,NY,10021,Manhattan
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,250 W 50TH ST,NEW YORK,NY,10019,Manhattan
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,555 W 59TH ST,NEW YORK,NY,10019,Manhattan
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,839 AVENUE OF THE AMERICAS,NEW YORK,NY,10001,Manhattan
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,15902 JAMAICA AVE,JAMAICA,NY,11432,Queens
"CHARLES PARKING, LLC",2126849704,200 E 27TH ST,NEW YORK,NY,10016,Manhattan
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,175 KENT AVE,BROOKLYN,NY,11249,Brooklyn
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,267 6TH AVE,BROOKLYN,NY,11215,Brooklyn
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,8914 PARSONS BLVD,JAMAICA,NY,11432,Queens
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,3804 NOSTRAND AVE,BROOKLYN,NY,11235,Brooklyn
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,13620 38TH AVE,FLUSHING,NY,11354,Queens
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,56-80 GREENWICH ST,NEW YORK,NY,10006,Manhattan
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,160 RIVERSIDE BLVD,NEW YORK,NY,10069,Manhattan
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,527 E 14TH ST,NEW YORK,NY,10009,Manhattan
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,325 AVENUE C,NEW YORK,NY,10009,Manhattan
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,300 SCHERMERHORN ST,BROOKLYN,NY,11217,Brooklyn
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,8020 COOPER AVE,GLENDALE,NY,11385,Queens
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,420 E 20TH ST,NEW YORK,NY,10009,Manhattan
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,501 E 87TH ST,NEW YORK,NY,10128,Manhattan
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,265 E 66TH ST,NEW YORK,NY,10065,Manhattan
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,200 CABRINI BLVD,NEW YORK,NY,10033,Manhattan
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,8914 PARSONS BLVD,JAMAICA,NY,11432,Queens
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,347-353 E 17TH ST,NEW YORK,NY,10003,Manhattan
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,388 BRIDGE ST,BROOKLYN,NY,11201,Brooklyn
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,312 BERGEN ST,BROOKLYN,NY,11217,Brooklyn
PARK KWIK LLC,2129745840,325 KENT AVE,BROOKLYN,NY,11249,Brooklyn
"ONE PARKING RC, INC.",480-272-2100,10 ROCKEFELLER PLZ,NEW YORK,NY,10020,Manhattan
QUIK PARK EAST 79 GARAGE LLC,212-832-2066,435 E 79TH ST,NEW YORK,NY,10075,Manhattan
"ONE PARKING 709, INC.",4802722100,2830 JACKSON AVE,LONG ISLAND CITY,NY,11101,Queens
MP 1775 LLC,2124903460,1775 GRAND CONCOURSE,BRONX,NY,10453,Bronx
POO PARKING CORP.,2124903460,1752 MORRIS AVE,BRONX,NY,10457,Bronx
MP COLUMBUS PARKING LLC,2124903460,10 COLUMBUS CIR,NEW YORK,NY,10019,Manhattan
PUBLIC PARKING 50 NORTH 5TH STREET INC,2124866888,50 N 5TH ST,BROOKLYN,NY,11249,Brooklyn
VANCITY PARKING INC,9173277488,70 E 162ND ST,BRONX,NY,10452,Bronx
GEM PARKING CORP.,,260 E 188TH ST,BRONX,NY,10458,Bronx
EASTSIDE 27 COMMERCIAL LLC,2123649704,200 E 27TH ST,NEW YORK,NY,10016,Manhattan
GEM PARKING CORP.,,260 E 188TH ST,BRONX,NY,10458,Bronx
"D&J UNION PLAZA PARKING, LLC",3474539548,3819 UNION ST,FLUSHING,NY,11354,Queens
QUIK PARK WEST 62ND ST. LLC,2128322066,140 W 65TH ST,NEW YORK,NY,10023,Manhattan
SP PLUS CORPORATION,212217621,20990 23RD AVE,BAYSIDE,NY,11360,Queens
WELCOME PARKING LLC,646-476-2959,131 E 55TH ST,NEW YORK,NY,10022,Manhattan
TYOS LLC,2126652160,1131 OGDEN AVE,BRONX,NY,10452,Bronx
KK ENTERPRISE GROUP INC.,9173277488,4745 PARK AVE,BRONX,NY,10458,Bronx
786 PARKING CORP,7186180029,250 E 144TH ST,BRONX,NY,10451,Bronx
CUSTOM PARKING LLC,2126869800,184 E 64TH ST,NEW YORK,NY,10065,Manhattan
CHAMPION PARKING 39 LLC,2128529033,102 W 39TH ST,NEW YORK,NY,10018,Manhattan
PARK PLACE GARAGE LLC,6465840409,99 CHURCH ST,NEW YORK,NY,10007,Manhattan
SYLVAN ASTORIA GARAGE LLC,7185759440,2325 31ST ST,ASTORIA,NY,11105,Queens
100 RIVERSIDE PARKING LLC,2126869800,120 RIVERSIDE BLVD,NEW YORK,NY,10069,Manhattan
100 RIVERSIDE PARKING LLC,2126869800,100 RIVERSIDE BLVD,NEW YORK,NY,10069,Manhattan
QUIK PARK CRESCENT LLC,2128322066,4308 CRESCENT ST,LONG ISLAND CITY,NY,11101,Queens
BROOKLYN METRO PARKING LLC,2126869800,100 WILLOUGHBY ST,BROOKLYN,NY,11201,Brooklyn
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,199 WATER ST,NEW YORK,NY,10038,Manhattan
1725 PARKING LLC,2126869800,1725 YORK AVE,NEW YORK,NY,10128,Manhattan
220 RIVERSIDE PARKING LLC,2126869800,220 RIVERSIDE BLVD,NEW YORK,NY,10069,Manhattan
QUIK PARK 801 GARAGE LLC,212-222-3289,801 AMSTERDAM AVE,NEW YORK,NY,10025,Manhattan
149 KENT AVENUE PARKING CORP,212-736-7171,149 KENT AVE,BROOKLYN,NY,11249,Brooklyn
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,9 W 57TH ST,NEW YORK,NY,10019,Manhattan
LM 29 PARK LLC,2129672848,221 W 29TH ST,NEW YORK,NY,10001,Manhattan
A & D 24 Hour Parking Inc,,2160 WEBSTER AVE,BRONX,NY,10457,Bronx
PARK ARMORYMANAGEMENT LLC,7182229427,171 CLERMONT AVE,BROOKLYN,NY,11205,Brooklyn
CHAMPION PARKING 113 LLC,212-308-5959,400 W 113TH ST,NEW YORK,NY,10025,Manhattan
"LAUREATE GARAGE, LLC",2127502056,2148 BROADWAY,NEW YORK,NY,10023,Manhattan
A & J PARKING LLC,914-314-3157,1035 ANDERSON AVE,BRONX,NY,10452,Bronx
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,1113 YORK AVE,NEW YORK,NY,10065,Manhattan
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,1 FORDHAM PLZ,BRONX,NY,10458,Bronx
MP PARK ASSOCIATES LLC,2124903460,810 RIVER AVE,BRONX,NY,10451,Bronx
FULTON LAWRENCE PARKING LLC,2126869800,111 LAWRENCE ST,BROOKLYN,NY,11201,Brooklyn
QUIK PARK ELY GARAGE LLC,2128322066,81 FLEET PL,BROOKLYN,NY,11201,Brooklyn
CLINTON 53 PARKING LLC,2126869800,515 W 52ND ST,NEW YORK,NY,10019,Manhattan
SUPER ELITE PARKING INC,9174705093,1973 38TH ST,ASTORIA,NY,11105,Queens
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,247 W 46TH ST,NEW YORK,NY,10036,Manhattan
MORRIS AVENUE PARKING LLC,6465027200,655 MORRIS AVE,BRONX,NY,10451,Bronx
CHAMPION PARKING 92 LLC,2123085959,114 W 92ND ST,NEW YORK,NY,10025,Manhattan
"PROPARK AMERICA NEW YORK, LLC",3479443939,920 PARK AVE,NEW YORK,NY,10028,Manhattan
"PROPARK AMERICA NEW YORK, LLC",3479443939,9015 QUEENS BLVD,ELMHURST,NY,11373,Queens
"PROPARK AMERICA NEW YORK, LLC",3479443939,11045 QUEENS BLVD,FOREST HILLS,NY,11375,Queens
ROCKWELL CAR PARK LLC,212-996-6363,29 FLATBUSH AVE,BROOKLYN,NY,11217,Brooklyn
7 WEST 21 PARKING LLC,212-888-7400,7 W 21ST ST,NEW YORK,NY,10010,Manhattan
507 WEST 28TH STREET PARKING CORP.,2127367171,507 W 28TH ST,NEW YORK,NY,10001,Manhattan
2 NORTH 6TH PARKING CORP,2127367171,2 N 6TH ST,BROOKLYN,NY,11249,Brooklyn
"PROPARK AMERICA NEW YORK, LLC",3479443939,11215 NORTHERN BLVD,CORONA,NY,11368,Queens
QUIK PARK 808 GARAGE LLC,2128322066,808 COLUMBUS AVE,NEW YORK,NY,10025,Manhattan
CHAMPION PARKING NORTH LLC,212-308-5959,2917 QUEENS PLZ N,LONG ISLAND CITY,NY,11101,Queens
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,751 CONCOURSE VLG W,BRONX,NY,10451,Bronx
SP PLUS CORPORATION,2123217621,9777 QUEENS BLVD,REGO PARK,NY,11374,Queens
58TH & 7TH PARKING LLC,2126869800,157 W 57TH ST,NEW YORK,NY,10019,Manhattan
99 PARK AVENUE CORP.,2128661000,99 PARK AVE,NEW YORK,NY,10016,Manhattan
JORIAN PARK LLC,7187794774,8213 37TH AVE,JACKSON HEIGHTS,NY,11372,Queens
THE CAR PARK OF NEW YORK LLC,208-336-6597,8036 COOPER AVE,GLENDALE,NY,11385,Queens
XTELL PARKING LLC,917-592-4762,17802 HILLSIDE AVE,JAMAICA,NY,11432,Queens
34 NORTH 7TH PARKING CORP.,2127367171,34 N 7TH ST,BROOKLYN,NY,11249,Brooklyn
"LAZ PARKING NEW YORK, NEW JERSEY LLC",2122652239,140 RIVERSIDE BLVD,NEW YORK,NY,10069,Manhattan
QUIK PARK HUDSON VI LLC,212-686-9800,40 RIVERSIDE BLVD,NEW YORK,NY,10069,Manhattan
560 W 43RD STREET PARKING CORP,9174727056,555 W 42ND ST,NEW YORK,NY,10036,Manhattan
"BATTERY 17 PARKING, LLC",646-773-4400,17 BATTERY PL,NEW YORK,NY,10004,Manhattan
THE CAR PARK OF NEW YORK LLC,208-336-6597,9015 QUEENS BLVD,ELMHURST,NY,11373,Queens
147-36 94TH AVENUE PARKING CORP.,2127367171,14736 94TH AVE,JAMAICA,NY,11435,Queens
PARK 115TH LLC,2129799815,2131 FREDERICK DOUGLASS BLVD,NEW YORK,NY,10026,Manhattan
ENTERPRISE 57 PARKING LLC,2125643199,606 W 57TH ST,NEW YORK,NY,10019,Manhattan
NORTH 12 PARKING LLC,9143209630,55 WYTHE AVE,BROOKLYN,NY,11249,Brooklyn
"YORK PARKING, LLC",646-773-4400,1418 YORK AVE,NEW YORK,NY,10021,Manhattan
43-25 HUNTER STREET PARKING CORP.,2127367171,4325 HUNTER ST,LONG ISLAND CITY,NY,11101,Queens
III IN LOT PARKING INC,646-964-4640,4388 BROADWAY,NEW YORK,NY,10040,Manhattan
535 CARLTON AVENUE PARKING CORP,212-736-7171,535 CARLTON AVE,BROOKLYN,NY,11238,Brooklyn
G & K PARKING GARAGE INC.,718-235-4975,1208 FRANKLIN AVE,BRONX,NY,10456,Bronx
1578 WILLIAMSBRIDGE ROAD LLC,7188639709,1578 WILLIAMSBRIDGE RD,BRONX,NY,10461,Bronx
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,130 FURMAN ST,BROOKLYN,NY,11201,Brooklyn
ACB GARAGE LLC,6465840409,626 1ST AVE,NEW YORK,NY,10016,Manhattan
455 CPW PARKING CORP,2127367171,455 CENTRAL PARK W,NEW YORK,NY,10025,Manhattan
255 SCHERMERHORN STREET PARKING CORP.,2127367171,33 BOND ST,BROOKLYN,NY,11201,Brooklyn
LAZ PARKING NEW YORK / NEW JERSEY LLC,2122652239,90 FURMAN ST,BROOKLYN,NY,11201,Brooklyn
TRUST UNDER WILL OF IRVING SERVANSKY,6175476500,210 INDIA ST,BROOKLYN,NY,11222,Brooklyn
PARK 24 LLC,2126757777,200 E 24TH ST,NEW YORK,NY,10010,Manhattan
"ABM INDUSTRY GROUPS, LLC",2127576500,450 E 29TH ST,NEW YORK,NY,10016,Manhattan
II IN LOT PARKING CORP,646-689-9769,2028 CRESTON AVE,BRONX,NY,10453,Bronx
LAZ Parking New York New Jersey LLC,2122652239,40 W 116TH ST,NEW YORK,NY,10026,Manhattan
"325 FIFTH CAR PARK, LLC",2129966363,325 5TH AVE,NEW YORK,NY,10016,Manhattan
99 PARK AVENUE PARKING CORP,2127367171,99 PARK AVE,NEW YORK,NY,10016,Manhattan
OTTO PARK LLC,2125755335,211 MCGUINNESS BLVD,BROOKLYN,NY,11222,Brooklyn
5 STARS PARKING INC,9172140583,120 UNION AVE,BROOKLYN,NY,11206,Brooklyn
240 RIVERSIDE PARKING LLC,2126869800,240 RIVERSIDE BLVD,NEW YORK,NY,10069,Manhattan
221 EAST 36TH STREET GARAGE LLC,6465840409,221 E 36TH ST,NEW YORK,NY,10016,Manhattan
QUIK PARK 150 CHARLES STREET GARAGE LLC,212-832-2066,150 CHARLES ST,NEW YORK,NY,10014,Manhattan
LM WOLVERINE PARKING LLC.,2127143571,282 S 5TH ST,BROOKLYN,NY,11211,Brooklyn
214 WEST 88TH STREET GARAGE LLC,6465840409,214 W 88TH ST,NEW YORK,NY,10024,Manhattan
LHL PARKING CO LLC,212-213-9600,242 W 53RD ST,NEW YORK,NY,10019,Manhattan
QB 71ST AVENUE PARKING LLC,7187865555,10820 71ST AVE,FOREST HILLS,NY,11375,Queens
VANCITY PARKING INC,9173277488,355 E 72ND ST,NEW YORK,NY,10021,Manhattan
PARK KWIK LLC,2129745840,286 ASHLAND PL,BROOKLYN,NY,11217,Brooklyn
PARK KWIK LLC,2129745840,60 WATER ST,BROOKLYN,NY,11201,Brooklyn
LAIGHT STREET PARKING  LLC,212-686-9800,416 WASHINGTON ST,NEW YORK,NY,10013,Manhattan
QUIK PARK GEM GARAGE LLC,212-832-2066,44 W 47TH ST,NEW YORK,NY,10036,Manhattan
59-61 WEST 36TH STREET PARKING CORP,212-736-7171,59 W 36TH ST,NEW YORK,NY,10018,Manhattan
LAZ PARKING NEW YORK / NEW JERSEY LLC,7104042575,555 WAVERLY AVE,BROOKLYN,NY,11238,Brooklyn
PEAK TIME PARKING INC.,9174705093,225 E 63RD ST,NEW YORK,NY,10065,Manhattan
"LIBERTY VIEW PARKING, LLC",2128422305,2 RIVER TER,NEW YORK,NY,10282,Manhattan
150 charles Street Garage LLC,6465840409,150 CHARLES ST,NEW YORK,NY,10014,Manhattan
38 SIXTH AVENUE PARKING CORP,212-736-7171,38 6TH AVE,BROOKLYN,NY,11217,Brooklyn
254 WEST 79TH STREET PARKING CORP,212-736-7171,252 W 79TH ST,NEW YORK,NY,10024,Manhattan
SP PLUS CORPORATION,2123217621,333 SCHERMERHORN ST,BROOKLYN,NY,11217,Brooklyn
MODA CAR PARK LLC,212-996-6363,8914 PARSONS BLVD,JAMAICA,NY,11432,Queens
390 MADISON PARKING CORP.,2127367171,390 MADISON AVE,NEW YORK,NY,10017,Manhattan
GGG PARKING GARAGE CORP.,9175573711,920 WESTCHESTER AVE,BRONX,NY,10459,Bronx
O & A PARKING GARAGE INC.,7184839458,1100 FRANKLIN AVE,BRONX,NY,10456,Bronx
LM ALDUS PARKING LLC,2127143571,951 HOE AVE,BRONX,NY,10459,Bronx
LM ALDUS PARKING LLC,2127143571,941 Hoe Avenue,Bronx,NY,10459,Bronx
PARKING VERNON LLC,2015678110,3085 VERNON BLVD,ASTORIA,NY,11102,Queens
BAJRAKTARI REALTY MANAGEMENT CORP,7183654310,617 East 188th Street,Bronx,NY,10458,Bronx
"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",2126296602,169 CADMAN PLZ W,BROOKLYN,NY,11201,Brooklyn
BK PARKING GROUP INC,9173277488,27 W 170TH ST,BRONX,NY,10452,Bronx
"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",2126296602,808 7TH AVE; # 820,NEW YORK,NY,10019,
"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",2123052718,115 FORT WASHINGTON AVE,NEW YORK,NY,10032,Manhattan
AZ PARKING CORP,2125484370,35 W 33RD ST,NEW YORK,NY,10001,Manhattan
SUPERB PARKING LLC,2126869800,400 E 35TH ST,NEW YORK,NY,10016,Manhattan
MANHATTAN PARKING WEST 20 LLC,212-490-3460,516 W 20TH ST,NEW YORK,NY,10011,Manhattan
52 WEST 36TH ST. PARKING LLC,2126869800,59 W 36TH ST,NEW YORK,NY,10018,Manhattan
QUIK PARK SCH GARAGE LLC,2128322066,236 LIVINGSTON ST,BROOKLYN,NY,11201,Brooklyn
"FIFTH AVENUE CAR PARK, LLC",2129966363,1330 5TH AVE,NEW YORK,NY,10026,Manhattan
ALVA 47 PARKING LLC,2126869800,257 W 47TH ST,NEW YORK,NY,10036,Manhattan
375 HUD PARKING LLC,2126869800,375 HUDSON ST,NEW YORK,NY,10014,Manhattan
323 WEST 34TH STREET LLC,2124903460,323 W 34TH ST,NEW YORK,NY,10001,Manhattan
JKH BUSINESS CORP,,1579 UNDERCLIFF AVE,BRONX,NY,10453,Bronx
SKY PARKING CORP.,2126083060,121 READE ST,NEW YORK,NY,10013,Manhattan
JO DASH PARKING LLC,2126869800,488 3RD AVE,NEW YORK,NY,10016,Manhattan
167 EAST 77TH ST PARKING SERVICES LLC,6467734400,176 E 77TH ST,NEW YORK,NY,10075,Manhattan
"SALVATOR, JOSEPH",3475895454,284 NASSAU AVE,BROOKLYN,NY,11222,Brooklyn
"OCHRE CAR PARK, LLC",2129966363,625 ATLANTIC AVE,BROOKLYN,NY,11217,Brooklyn
CLINTON HILL GARAGE CORP.,3476023636,240 VANDERBILT AVE,BROOKLYN,NY,11205,Brooklyn
1065 GARAGE LLC,2128887400,1065 PARK AVE,NEW YORK,NY,10128,Manhattan
QUIK PARK EAST 94TH STREET LLC,2126869800,1829 1ST AVE,NEW YORK,NY,10128,Manhattan
"300 EAST 74TH STREET CAR PARK, LLC",2129966363,300 E 74TH ST,NEW YORK,NY,10021,Manhattan
SLATE PARKING CORP.,2126296602,329 E 21ST ST,NEW YORK,NY,10010,Manhattan
"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",2125025490,215 S END AVE,NEW YORK,NY,10280,Manhattan
SUPER ELITE PARKING INC,9174705093,3815 PUTNAM AVE W,BRONX,NY,10463,Bronx
EAGLE PARKING GARAGE INC,3472207660,775 EAGLE AVE,BRONX,NY,10456,Bronx
"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",2126296602,332 W 44TH ST,NEW YORK,NY,10036,Manhattan
"J & B PARKING GARAGE, INC.",2125433328,477 W 165TH ST,NEW YORK,NY,10032,Manhattan
"FORBES, DUDLEY",718-277-3866,447 EUCLID AVE,BROOKLYN,NY,11208,Brooklyn
"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",2126296602,330 E 61ST ST,NEW YORK,NY,10065,Manhattan
115 WEST 25TH STREET PARKING CORP.,2122439808,112 W 25TH ST,NEW YORK,NY,10001,Manhattan
RIBAR PARKING LLC,2129293041,160 W 10TH ST,NEW YORK,NY,10014,Manhattan
NEW OGDEN PARKING INC.,7184662000,156 W 166TH ST,BRONX,NY,10452,Bronx
"KINNEY PARKING SYSTEM, LLC",2125025490,215 W 87TH ST,NEW YORK,NY,10024,Manhattan
YORK & 90TH PARKING LLC,2126869800,1731 YORK AVE,NEW YORK,NY,10128,Manhattan
SP PLUS CORPORATION,2125025490,910 9TH AVE,NEW YORK,NY,10019,Manhattan
LOWER EAST SIDE DISTRICT MANAGEMENT ASSOCIATION INC,212-276-9010,135 DELANCEY ST,NEW YORK,NY,10002,Manhattan
"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",9999999999,100 W 57TH ST,NEW YORK,NY,10019,Manhattan
CANDACE PARKING CORP.,2124903460,120 W 97TH ST,NEW YORK,NY,10025,Manhattan
GMH PARK INC,9172140583,2330 HOFFMAN ST,BRONX,NY,10458,Bronx
337 PARKING LLC,2128799796,337 E 64TH ST,NEW YORK,NY,10065,Manhattan
SCR PARKING CORP.,2122493344,169 E 87TH ST,NEW YORK,NY,10128,Manhattan
FLATIRON 20 PARKING LLC,2122439384,21 W 20 ST,NEW YORK,NY,10011,Manhattan
"KINNEY PARKING SYSTEM, LLC",2124450172,2500 JOHNSON AVE,BRONX,NY,10463,Bronx
UPPER MANHATTAN PARKING LLC,2124211117,1845 PARK AVE,NEW YORK,NY,10035,Manhattan
NEW YORK PARKING 57TH ST. CORP.,2122493344,110 E 57TH ST,NEW YORK,NY,10022,Manhattan
CHATHAM PARKING SYSTEMS INC.,2125137143,180 PARK ROW,NEW YORK,NY,10038,Manhattan
"ACCESS 37 PARKING, LLC",2126869800,404 W 37TH ST,NEW YORK,NY,10018,Manhattan
"LAZ PARKING NEW YORK, NEW JERSEY LLC",2122652239,279 AVENUE C,NEW YORK,NY,10009,Manhattan
SHARP PARKING LLC,2126869800,825 2ND AVE,NEW YORK,NY,10017,Manhattan
NEW YORK PARKING 56TH ST. CORP,212-249-3349,65 W 56TH ST,NEW YORK,NY,10019,Manhattan
"IMPERIAL PARKING (U.S.), LLC",2129378660,450 E 79TH ST,NEW YORK,NY,10075,Manhattan
BRICIN PARKING CORP.,2127565451,155 E 55TH ST,NEW YORK,NY,10022,Manhattan
"ATLANTIC PARKING MGMT, LLC",2127957275,238 ATLANTIC AVE,BROOKLYN,NY,11201,Brooklyn
ROYAL 89 PARKING LLC,2126869800,200 E 89TH ST,NEW YORK,NY,10128,Manhattan
"IMPERIAL PARKING (U.S), LLC",2129378660,422-446 79TH STREET,NEW YORK,NY,,
65 WEST 55TH STREET PARKING CORP,2127367171,57 W 55TH ST,NEW YORK,NY,10019,Manhattan
ONE PARKING 40TH STREET INC,480-272-2100,225 E 39TH ST,NEW YORK,NY,10016,Manhattan
EAST 29 PARKING LLC,2122624771,39 E 29TH ST,NEW YORK,NY,10016,Manhattan
CP PARKING CORP.,9175785635,13331 39TH AVE,FLUSHING,NY,11354,Queens
REX PARKING CORP.,5166984240,532 W 53RD ST,NEW YORK,NY,10019,Manhattan
PIERCE PARKING LLC,2127143571,80 W END AVE,NEW YORK,NY,10023,Manhattan
"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",2125025490,34 RIVER TER,NEW YORK,NY,10282,Manhattan
WALL PARK 45 LLC,2126869800,45 WALL ST,NEW YORK,NY,10005,Manhattan
ALLIANCE AMHERST PARKING LLC,2125810535,401 E 74TH ST,NEW YORK,NY,10021,Manhattan
CONTINENTAL TOWERS PARKING LLC,2126501936,301 E 79TH ST,NEW YORK,NY,10075,Manhattan
"IMPERIAL PARKING US, LLC",2129378660,40 PROSPECT ST,STATEN ISLAND,NY,10304,Staten Island
QUIK PARK WEST 41ST STREET LLC,212-686-9800,601 W 41ST ST,NEW YORK,NY,10036,Manhattan
WELCOME PARKING LIMITED LIABILITY COMPANY,2016807129,128 W 42ND ST,NEW YORK,NY,10036,Manhattan
COOPER & 9TH PARKING LLC,212-686-9800,70 E 10TH ST,NEW YORK,NY,10003,Manhattan
"BOGOPA LIC, INC.",7183466500,4202 NORTHERN BLVD,LONG IS CITY,NY,11101,Queens
BROTHERS CAR PARK LLC,2122216111,180 MONTAGUE ST,BROOKLYN,NY,11201,Brooklyn
162 PARKING MGMT LLC.,,528 W 162ND ST,NEW YORK,NY,10032,Manhattan
WEST FARMS PARKING LLC,,1512 BOONE AVE,BRONX,NY,10460,Bronx
LEMAR PARKING CORP.,718-681-7406,519 W 161ST ST,NEW YORK,NY,10032,Manhattan
NOBLE PARKING LLC,212-686-9800,310 E 40TH ST,NEW YORK,NY,10016,Manhattan
"BEST BUY AUTOMOTIVE, INC.",7188636816,1855 E TREMONT AVE,BRONX,NY,10460,Bronx
GRACIE PUBLIC PARKING CORP.,2127367171,401 E 89TH ST,NEW YORK,NY,10128,Manhattan
"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",2125025490,800 AVENUE OF THE AMERICAS,NEW YORK,NY,10001,Manhattan
GM PARK GROUP INC,6466100315,110 BROADWAY,BROOKLYN,NY,11249,Brooklyn
"CENTRAL PARKING SYSTEM OF NEW YORK, INC",2126954568,4007 73RD ST,WOODSIDE,NY,11377,Queens
"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",7185887800,20 E 161ST ST,BRONX,NY,10451,Bronx
"CENTRAL PARKING SYSTEM OF NEW YORK, INC",2125025490,75 PARK PLACE,NEW YORK,NY,10016,Manhattan
SECURE PARKING LLC,2126869800,363 W 30TH ST,NEW YORK,NY,10001,Manhattan
"KINNEY PARKING SYSTEM, LLC",2125025490,38 W 46TH ST,NEW YORK,NY,10036,Manhattan
ZR PARKING LLC,6314212686,3538 JUNCTION BLVD,CORONA,NY,11368,Queens
VICTOR GARAGE CORP.,7188559571,275 PARK AVE,BROOKLYN,NY,11205,Brooklyn
